bin_left,bin_right,count,percentage
0.0,0.05,0,0.0
0.05,0.1,0,0.0
0.1,0.15,1,1.2096579087434074e-05
0.15,0.2,0,0.0
0.2,0.25,0,0.0
0.25,0.3,0,0.0
0.3,0.35,0,0.0
0.35,0.4,2,2.419315817486815e-05
0.4,0.45,0,0.0
0.45,0.5,0,0.0
0.5,0.55,0,0.0
0.55,0.6,0,0.0
0.6,0.65,7,8.467605361203852e-05
0.65,0.7,12,0.00014515894904920887
0.7,0.75,20,0.00024193158174868148
0.75,0.8,31,0.00037499395171045627
0.8,0.85,48,0.0005806357961968355
0.85,0.9,35,0.0004233802680601926
0.9,0.95,31,0.00037499395171045627
0.95,1.0,82481,0.9977379397106498
